timeEDT,droneType,droneID,flightID,latitude,longitude,speed,Altitude (m),Home Longitude,Home Latitude,Pilot Longitude,Pilot Latitude
7/4/2021 1:23,FPV,204,1731,32.8536693,-97.32823191,0.076157731,126.8,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32823191,0.064031242,126.8,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32823191,0.134164079,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32822618,0.082462113,127,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32823191,0.04472136,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32823191,0.028284271,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32822618,0.063245553,127,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32822618,0.063245553,127,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32835223,6.045593437,127,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85365784,-97.32840953,0.03,127,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85365784,-97.3284038,0.041231056,127.1,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32840953,0.063245553,127,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32840953,0.063245553,127,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85366357,-97.32840953,0.060827625,127,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85366357,-97.3284038,0.01,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85366357,-97.32840953,0.04,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32840953,0.014142136,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32840953,0.042426407,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32840953,0.550090902,126.8,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32852412,5.110156553,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32852412,5.110156553,126.9,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32860433,0.04472136,125.7,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32860433,0.01,126.2,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32860433,0.060827625,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:24,FPV,204,1731,32.85365784,-97.32860433,0.02236068,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.32860433,0.05,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.32860433,0.031622777,125.7,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.32860433,0.014142136,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.32860433,0.072801099,125.5,-97.32822618,32.85377243,0,0
7/4/2021 1:25,Mavic Mini,156,1711,32.82420208,-97.14913676,0.117046999,100.2,-97.14921697,32.82419062,-97.14919979,32.82423073
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.32860433,0.02236068,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85365784,-97.3285986,0.014142136,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.3285986,0.031622777,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.3285986,0,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.3285986,0.036055513,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.3285986,0.036055513,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.3285986,0.02,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.32859287,0.028284271,125.9,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85366357,-97.3285986,0.014142136,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85365784,-97.32859287,0.02,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85365784,-97.3285986,0.03,125.9,-97.32822618,32.85377243,0,0
7/4/2021 1:25,FPV,204,1731,32.85365784,-97.32859287,0.031622777,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85365784,-97.3285986,0.03,125.9,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85365784,-97.3285986,0.04,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85365784,-97.3285986,0.02236068,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85365784,-97.3285986,0.01,125.9,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85366357,-97.3285986,0.014142136,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85366357,-97.3285986,0.02236068,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,Mavic Mini,156,604,32.82420208,-97.14913676,0.03,49.8,-97.14921697,32.82419062,-97.14926854,32.82413906
7/4/2021 1:26,FPV,204,1731,32.85366357,-97.3285986,0.042426407,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85366357,-97.3285986,0.01,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85366357,-97.3285986,0,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:26,FPV,204,1731,32.85366357,-97.3285986,0,125.8,-97.32822618,32.85377243,0,0
7/4/2021 1:27,Mavic Mini,156,604,32.82420208,-97.14913676,0.067082039,49.7,-97.14921697,32.82419062,-97.14920552,32.82423073
7/4/2021 1:27,FPV,204,1731,32.85366357,-97.3285986,0.03,139,-97.32822618,32.85377243,0,0
7/4/2021 1:27,FPV,204,1731,32.85366357,-97.3285986,0.014142136,138.9,-97.32822618,32.85377243,0,0
7/4/2021 1:27,FPV,204,1731,32.85366357,-97.3285986,0.02,139,-97.32822618,32.85377243,0,0
7/4/2021 1:27,FPV,204,1731,32.8536693,-97.32860433,0.114017543,139,-97.32822618,32.85377243,0,0
7/4/2021 1:27,FPV,204,1731,32.85366357,-97.3285986,0.01,138.9,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85366357,-97.3285986,0.02236068,138.9,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85366357,-97.3285986,0.02236068,138.9,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85366357,-97.32860433,0.031622777,138.9,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85365784,-97.3285986,1.06117859,135.4,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85365784,-97.32858141,2.210361961,132.7,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85365211,-97.32833504,8.550005848,117.8,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85365784,-97.32791678,11.19028597,105.5,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85367503,-97.32744123,9.053364016,105.1,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85358336,-97.32707453,5.278825627,105,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85358336,-97.32707453,5.278825627,105,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85307342,-97.32674222,1.703907274,114.5,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85307342,-97.32674222,0.082462113,114.5,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85307342,-97.32674222,0.082462113,114.5,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.85299894,-97.3267766,4.151457575,114.4,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.8529531,-97.32679951,0.04,111.5,-97.32822618,32.85377243,0,0
7/4/2021 1:28,FPV,204,1731,32.8529531,-97.32679951,0.04,111.5,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.8529531,-97.32679951,0.471274867,96.3,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85298748,-97.32678232,1.56952222,82.9,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85298748,-97.32678232,1.56952222,82.9,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85305051,-97.32675941,1.268266534,72.5,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85305051,-97.32675941,1.268266534,72.5,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85305624,-97.3267766,0.336154726,72.6,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85305624,-97.3267766,0.336154726,72.6,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85305624,-97.3267766,0.072801099,73.9,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85305624,-97.32678232,0.131529464,80.8,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85306769,-97.32683389,2.305927145,81.9,-97.32822618,32.85377243,0,0
7/4/2021 1:29,FPV,204,1731,32.85322239,-97.32712037,1.258014308,67.8,-97.32822618,32.85377243,0,0
